No,Wilayah,Nama Provinsi,Tahun,Ketersediaan Energi Nabati,Ketersediaan Energi Hewani,Ketersediaan Energi,Satuan,Keterangan
1,Nasional,,2018,2726,249,2974,kkal/kap/hari,Angka tetap
2,Nasional,,2019,2595,263,2858,kkal/kap/hari,Angka tetap
3,Nasional,,2020,2624,251,2875,kkal/kap/hari,Angka tetap
4,Nasional,,2021,2856,263,3119,kkal/kap/hari,Angka tetap
5,Nasional,,2022,2907,254,3161,kkal/kap/hari,Angka tetap
6,Nasional,,2023,2820,259,3079,kkal/kap/hari,Angka sementara
7,Nasional,,2024,2602,245,2847,kkal/kap/hari,Angka sangat sementara
8,Provinsi,Aceh,2019,3040,172,3212,kkal/kap/hari,Angka tetap
9,Provinsi,Sumatera Utara,2019,4202,160,4362,kkal/kap/hari,Angka tetap
10,Provinsi,Sumatera Barat,2019,2311,243,2554,kkal/kap/hari,Angka tetap
11,Provinsi,Riau,2019,2958,223,3181,kkal/kap/hari,Angka tetap
12,Provinsi,Jambi,2019,2864,189,3053,kkal/kap/hari,Angka tetap
13,Provinsi,Sumatera Selatan,2019,1933,264,2197,kkal/kap/hari,Angka tetap
14,Provinsi,Bengkulu,2019,2179,284,2463,kkal/kap/hari,Angka tetap
15,Provinsi,Lampung,2019,2571,124,2695,kkal/kap/hari,Angka tetap
16,Provinsi,Kep Bangka Belitung,2019,2482,311,2793,kkal/kap/hari,Angka tetap
17,Provinsi,Kep Riau,2019,2022,444,2466,kkal/kap/hari,Angka tetap
18,Provinsi,DKI Jakarta,2019,2843,1982,4825,kkal/kap/hari,Angka tetap
19,Provinsi,Jawa Barat,2019,2328,217,2545,kkal/kap/hari,Angka tetap
20,Provinsi,Jawa Tengah,2019,3925,130,4055,kkal/kap/hari,Angka tetap
21,Provinsi,Jawa Timur,2019,2103,169,2272,kkal/kap/hari,Angka tetap
22,Provinsi,DI Yogyakarta,2019,3404,322,3726,kkal/kap/hari,Angka tetap
23,Provinsi,Banten,2019,2384,297,2680,kkal/kap/hari,Angka tetap
24,Provinsi,Bali,2019,2108,538,2646,kkal/kap/hari,Angka tetap
25,Provinsi,NTB,2019,5577,1704,7281,kkal/kap/hari,Angka tetap
26,Provinsi,NTT,2019,3766,180,3946,kkal/kap/hari,Angka tetap
27,Provinsi,Kalimantan Barat,2019,3183,279,3462,kkal/kap/hari,Angka tetap
28,Provinsi,Kalimantan Tengah,2019,3294,602,3896,kkal/kap/hari,Angka tetap
29,Provinsi,Kalimantan Selatan,2019,3061,142,3203,kkal/kap/hari,Angka tetap
30,Provinsi,Kalimantan Timur,2019,2377,292,2669,kkal/kap/hari,Angka tetap
31,Provinsi,Kalimantan Utara,2019,2321,1482,3803,kkal/kap/hari,Angka tetap
32,Provinsi,Sulawesi Utara,2019,2393,375,2768,kkal/kap/hari,Angka tetap
33,Provinsi,Sulawesi Tengah,2019,6463,200,6663,kkal/kap/hari,Angka tetap
34,Provinsi,Sulawesi Selatan,2019,3328,244,3572,kkal/kap/hari,Angka tetap
35,Provinsi,Sulawesi Tenggara,2019,3110,229,3339,kkal/kap/hari,Angka tetap
36,Provinsi,Gorontalo,2019,2774,333,3107,kkal/kap/hari,Angka tetap
37,Provinsi,Sulawesi Barat,2019,3585,151,3736,kkal/kap/hari,Angka tetap
38,Provinsi,Maluku,2019,2234,474,2708,kkal/kap/hari,Angka tetap
39,Provinsi,Maluku Utara,2019,2260,399,2659,kkal/kap/hari,Angka tetap
40,Provinsi,Papua Barat,2019,2589,321,2910,kkal/kap/hari,Angka tetap
41,Provinsi,Papua,2019,2933,422,3355,kkal/kap/hari,Angka tetap
42,Provinsi,Papua Tengah,2019,,,0,kkal/kap/hari,Angka tetap
43,Provinsi,Papua Selatan,2019,,,0,kkal/kap/hari,Angka tetap
44,Provinsi,Papua Pegunungan,2019,,,0,kkal/kap/hari,Angka tetap
45,Provinsi,Papua Barat Daya,2019,,,0,kkal/kap/hari,Angka tetap
46,Provinsi,Aceh,2020,2815,269,3084,kkal/kap/hari,Angka tetap
47,Provinsi,Sumatera Utara,2020,2907,217,3124,kkal/kap/hari,Angka tetap
48,Provinsi,Sumatera Barat,2020,2639,279,2918,kkal/kap/hari,Angka tetap
49,Provinsi,Riau,2020,2952,237,3189,kkal/kap/hari,Angka tetap
50,Provinsi,Jambi,2020,2875,183,3058,kkal/kap/hari,Angka tetap
51,Provinsi,Sumatera Selatan,2020,1857,271,2128,kkal/kap/hari,Angka tetap
52,Provinsi,Bengkulu,2020,2179,284,2463,kkal/kap/hari,Angka tetap
53,Provinsi,Lampung,2020,2504,157,2661,kkal/kap/hari,Angka tetap
54,Provinsi,Kep Bangka Belitung,2020,2229,251,2481,kkal/kap/hari,Angka tetap
55,Provinsi,Kep Riau,2020,1992,490,2482,kkal/kap/hari,Angka tetap
56,Provinsi,DKI Jakarta,2020,2664,2438,5102,kkal/kap/hari,Angka tetap
57,Provinsi,Jawa Barat,2020,2434,208,2642,kkal/kap/hari,Angka tetap
58,Provinsi,Jawa Tengah,2020,3885,141,4026,kkal/kap/hari,Angka tetap
59,Provinsi,Jawa Timur,2020,2231,164,2395,kkal/kap/hari,Angka tetap
60,Provinsi,DI Yogyakarta,2020,3398,272,3670,kkal/kap/hari,Angka tetap
61,Provinsi,Banten,2020,2339,261,2600,kkal/kap/hari,Angka tetap
62,Provinsi,Bali,2020,2141,515,2656,kkal/kap/hari,Angka tetap
63,Provinsi,NTB,2020,4335,1773,6108,kkal/kap/hari,Angka tetap
64,Provinsi,NTT,2020,3660,159,3819,kkal/kap/hari,Angka tetap
65,Provinsi,Kalimantan Barat,2020,3042,187,3229,kkal/kap/hari,Angka tetap
66,Provinsi,Kalimantan Tengah,2020,2847,384,3231,kkal/kap/hari,Angka tetap
